Unnamed: 0,cat,city,comments,elev,height,latitude,longitude,name,st,uid,zip
0.0,LC11,Ardmore,Height not marked but it is believed to be 11 ft (136),,11.0,34.983726000000004,-86.851996,Low Clearance,AL,100749.0,35739
1.0,LC13,Ardmore,13 - 6 height clearance,,13.6,34.992213,-86.84716800000002,Low Clearance,AL,100750.0,38449
2.0,LC10,Athens,10 - 0 height clearance (136),,10.0,34.797197,-86.970228,Low Clearance,AL,100758.0,35611
3.0,LC13,Attalla,13 - 7 height clearance,,13.7,34.018626,-86.085077,Low Clearance,AL,100770.0,35954
4.0,LC13,Attalla,13 - 8 height clearance,,13.8,34.02112,-86.08751,Low Clearance,AL,100771.0,35954
5.0,LC14,Attalla,14 - 1 height clearance,,14.1,34.021138,-86.087532,Low Clearance,AL,100772.0,35954
6.0,LC10,Bessemer,10 - 0 height clearance (136),,10.0,33.404140999999996,-86.94768499999998,Low Clearance,AL,100783.0,35020
7.0,LC13,Birmingham,13 - 8 height clearance,,13.8,33.498408000000005,-86.818729,Low Clearance,AL,100803.0,35233
8.0,LC13,Birmingham,13 - 9 height clearance,,13.9,33.526227,-86.791145,Low Clearance,AL,100804.0,35222
9.0,LC13,Birmingham,13 - 7 height clearance,,13.7,33.533206,-86.755713,Low Clearance,AL,100805.0,35212
10.0,LC13,Birmingham,13 - 7 height clearance,,13.7,33.536004,-86.807014,Low Clearance,AL,100806.0,35234
11.0,LC13,Birmingham,13 - 7 height clearance,,13.7,33.536026,-86.807005,Low Clearance,AL,100807.0,35234
12.0,LC13,Birmingham,13 - 3 height clearance (136),,13.3,33.537586,-86.752312,Low Clearance,AL,100808.0,35212
13.0,LC13,Birminghan,13 - 6  height clearance,,13.6,33.49658400000001,-86.839576,Low Clearance,AL,100828.0,35211
14.0,LC13,Birminghan,13 - 8  height clearance,,13.8,33.509161,-86.813139,Low Clearance,AL,100829.0,35233
15.0,LC12,Birminghan,12 - 10 height clearance (136),,12.1,33.511790999999995,-86.807662,Low Clearance,AL,100830.0,35203
16.0,LC14,Birminghan,14 - 1 height clearance,,14.1,33.512508000000004,-86.806203,Low Clearance,AL,100831.0,35203
17.0,LC13,Birminghan,13 - 4 height clearance (136),,13.4,33.513086,-86.80476,Low Clearance,AL,100832.0,35234
18.0,LC13,Birminghan,13 - 9 height clearance,,13.9,33.526196,-86.79114799999998,Low Clearance,AL,100833.0,35222
19.0,LC13,Birminghan,13 - 3 height clearance (136),,13.3,33.537828999999995,-86.752206,Low Clearance,AL,100834.0,35212
20.0,LC13,Birminghan,13 - 3 height clearance (136),,13.3,33.538064,-86.751561,Low Clearance,AL,100835.0,35212
21.0,LC8,Bridgeport,8 - 1 height clearance (136),,8.1,34.938072,-85.747757,Low Clearance,AL,100859.0,35740
22.0,LC10,Bridgeport,10 - 6 height clearance (136),,10.6,34.947323,-85.71284200000002,Low Clearance,AL,100860.0,35740
23.0,LC13,Chelsea,13 - 6 height clearance,,13.6,33.346979,-86.63934300000004,Low Clearance,AL,100887.0,35043
24.0,LC8,Childersburg,8 - 0 height clearance (136),,8.0,33.276052,-86.350246,Low Clearance,AL,100892.0,35044
25.0,LC14,Childersburg,14 - 0 height clearance,,14.0,33.278743,-86.352961,Low Clearance,AL,100893.0,35044
26.0,LC8,Cordova,8 - 0 height clearance (136),,8.0,33.784581,-87.20787299999998,Low Clearance,AL,100913.0,35550
27.0,LC9,Cullman,9 - 8 height clearance (136),,9.8,34.145602000000004,-86.83074,Low Clearance,AL,100939.0,35055
28.0,LC8,Cullman,8 - 0 height clearance (136),,8.0,34.155072,-86.832798,Low Clearance,AL,100940.0,35055
29.0,LC10,Decatur,10 - 8 height clearance (136),,10.8,34.611655999999996,-86.988661,Low Clearance,AL,100958.0,35601
30.0,LC7,Demopolis,7 - 0 height clearance (136),,7.0,32.52095,-87.828942,Low Clearance,AL,100969.0,36732
31.0,LC8,Dora,8 - 0 height clearance (136),,8.0,33.73207,-87.103166,Low Clearance,AL,100973.0,35062
32.0,LC14,Enterprise,14 - 0 height clearance,,14.0,31.31070900000001,-85.850894,Low Clearance,AL,101010.0,36330
33.0,LC12,Florence,bridge replaced with new one next to it - 12 - 1 height clearance (136),,12.1,34.85102,-87.5705,Low Clearance,AL,101037.0,35630
34.0,LC8,Forkland,8 - 0 height clearance (136),,8.0,32.549556,-87.830642,Low Clearance,AL,101046.0,36740
35.0,LC14,Gadsden,14 - 6 height clearance,,14.6,34.009452,-85.993284,Low Clearance,AL,101055.0,35903
36.0,LC13,Gordo,13 - 6 height clearance,,13.6,33.323592,-87.910262,Low Clearance,AL,101068.0,35466
37.0,LC10,Greenville,10 - 6 height clearance (136),,10.6,31.82954,-86.6279,Low Clearance,AL,101074.0,36037
38.0,LC15,Haleyville,15 - 2 height clearance,,15.2,34.207874,-87.631328,Low Clearance,AL,101091.0,35565
39.0,LC15,Haleyville,16 - 3 height clearance,,16.3,34.233788,-87.633696,Low Clearance,AL,101092.0,35565
40.0,LC11,Hanceville,11 - 0 height clearance (136),,11.0,34.01252,-86.74760400000002,Low Clearance,AL,101106.0,35077
41.0,LC10,Hartselle,10 height clearance (136),,10.0,34.398196999999996,-86.912842,Low Clearance,AL,101116.0,35640
42.0,LC10,Hayden,"Had it as 10-1 but reported as higher than 13-6 and no signage, 10 - 1 height clearance (136)",,10.1,33.88971,-86.75992,Low Clearance,AL,101118.0,35079
43.0,LC10,Hayden,10 - 0 height clearance (136),,10.0,33.925619,-86.77598,Low Clearance,AL,101119.0,35079
44.0,LC8,Leeds,8 - 0 height clearance (136),,8.0,33.544714,-86.535829,Low Clearance,AL,101181.0,35094
45.0,LC14,Leeds,14 - 0 height clearance,,14.0,33.548425,-86.543814,Low Clearance,AL,101182.0,35094
46.0,LC15,Leeds,15 height clearance,,15.0,33.555053,-86.57206,Low Clearance,AL,101183.0,35094
47.0,LC15,Lincoln,15 - 3 height clearance in center with 13 - 2 side angle bars,,15.3,33.60427,-86.1945,Low Clearance,AL,101189.0,35096
48.0,LC15,Livingston,15 - 7 height clearance,,15.7,32.583084,-88.184186,Low Clearance,AL,101197.0,35470
49.0,LC12,Mobile,12 - 0 height clearance (136),,12.0,30.693051,-88.03097,Low Clearance,AL,101239.0,36603
50.0,LC14,Mobile,14 - 0 height clearance,,14.0,30.695959999999996,-88.11267,Low Clearance,AL,101240.0,36603
51.0,LC15,Montgomery,16 - 0 height clearance,,16.0,32.358886,-86.33506700000002,Low Clearance,AL,101268.0,36108
52.0,LC14,Morris,14 - 3 height clearance,,14.3,33.714898,-86.73905,Low Clearance,AL,101283.0,35116
53.0,LC9,Morris,9 - 6 height clearance (136),,9.6,33.757931,-86.75313,Low Clearance,AL,101284.0,35116
54.0,LC14,Natural Bridge,14 - 10 height clearance,,14.1,34.087759999999996,-87.601236,Low Clearance,AL,101296.0,35577
55.0,LC10,Oneonta,10 - 0 height clearance (136),,10.0,33.971021,-86.518348,Low Clearance,AL,101309.0,35121
56.0,LC8,Oneonta,8 - 6 height clearance (136),,8.6,34.00742,-86.44881,Low Clearance,AL,101310.0,35121
57.0,LC14,Opelika,14 - 0 height clearance,,14.0,32.62673,-85.3714,Low Clearance,AL,101315.0,36804
58.0,LC10,Opelika,10 - 1 height clearance (136),,10.1,32.643359999999994,-85.386084,Low Clearance,AL,101316.0,36801
