,longitude,latitude,store_type,store_id,gas,address,city,state,zip_code,parking  ,phone_number
0,-149.881507,61.192165,Walmart Supercenter,#2070,No Gas,3101 A St,Anchorage,AK,99503,No Parking,(907) 563-5900
1,-149.74255,61.21274,Walmart Supercenter,#4359,No Gas,7405 Debarr Rd,Anchorage,AK,99504,No Parking,(907) 339-9039
2,-149.868161,61.140234,Walmart Supercenter,#2071,No Gas,8900 Old Seward Hwy,Anchorage,AK,99515,No Parking,(907) 344-5300
3,-149.535324,61.30978,Walmart Supercenter,#2188,No Gas,18600 Eagle River Rd,Eagle River,AK,99577,No Parking,(907) 694-9780
4,-147.688971,64.857356,Walmart Supercenter,#2722,No Gas,537 Johansen Expy,Fairbanks,AK,99701,Parking Available,(907) 451-9900
5,-151.226631,60.564167,Walmart Supercenter,#4474,No Gas,10096 Kenai Spur,Kenai,AK,99611,Parking Available,(907) 395-0971
6,-131.720364,55.376113,Walmart,#2710,No Gas,4230 Don King Rd,Ketchikan,AK,99901,Parking Available,(907) 247-2156
7,-152.36445,57.811389,Walmart,#2711,No Gas,2911 Mill Bay Rd,Kodiak,AK,99615,Parking Available,(907) 481-1670
8,-149.362998,61.568711,Walmart Supercenter,#2074,No Gas,1350 S Seward Meridian Pkwy,Wasilla,AK,99654,Parking Available,(907) 376-9780
9,-86.803848,33.235798,Murphy USA,#7687,Gas/Diesel,560 Colonial Promenade Pkwy; I-65 Exit 238,Alabaster,AL,35007,Parking Available,(205) 685-9750
10,-86.80236,33.235791,Walmart Supercenter,#0423,Gas/Diesel,630 Colonial Promenade Pkwy; I-65 Exit 238,Alabaster,AL,35007,No Parking,(205) 620-0360
11,-86.828684,33.211457,Walmart Neighborhood Market,#4756,Gas,9085 Hwy 119; I 65 Exit 238,Alabaster,AL,35007,Parking Available,(205) 624-6229
12,-85.9783568,32.9396785,Murphy USA,#5684,Gas,2507 Hwy 280,Alexander City,AL,35010,Parking Available,(256) 234-0415
13,-85.976666,32.940771,Walmart Supercenter,#0726,Gas,2643 Hwy 280,Alexander City,AL,35010,Parking Available,(256) 234-0316
14,-86.445471,31.320815,Walmart Supercenter,#1091,Gas/Diesel,1991 Dr MLK Jr Expy,Andalusia,AL,36420,Parking Available,(334) 222-6561
15,-86.4472847,31.3187358,Murphy USA,#7394,Gas/Diesel,1997 Dr MLK Jr Expy,Andalusia,AL,36420,Parking Available,(334) 222-3846
16,-85.819395,33.719758,Walmart Supercenter,#0329,Gas,5560 McClellan Blvd,Anniston,AL,36206,Parking Available,(256) 820-3326
17,-85.8180352,33.7192029,Murphy USA,#5624,Gas,5564 McClellan Blvd,Anniston,AL,36206,Parking Available,(256) 847-4040
18,-86.500972,34.341907,Walmart Supercenter,#0306,Gas/Diesel,1450 N Brindlee Mountain Pkwy,Arab,AL,35016,Parking Available,(256) 586-8168
19,-86.5026703,34.3428307,Murphy USA,#6890,Gas/Diesel,1468 N Brindlee Mountain Pkwy,Arab,AL,35016,Parking Available,(256) 586-6070
