,longitude,latitude,name,location
0,-98.84565,27.77428,Homeland Security Check Station,Laredo Texas
1,-99.39336,27.90539,Homeland Security Check Station,Laredo Texas
2,-98.19172,28.54667,Weigh Station,Three Rivers Texas
3,-98.19551,28.55786,Weigh Station,Three Rivers Texas
4,-98.13804,27.02447,Homeland Security Check Station,South of Falfurrias Texas
5,-97.80968,27.2895,Weigh Station,Riveria Texas
6,-97.7038,28.32185,Weigh Station,US 181 Beeville Texas
7,-97.68236,28.4637,Weigh Station,Beeville Texas
8,-98.95321,29.09144,Weigh Station,Moore Texas
9,-98.95288,29.09368,Weigh Station,Moore Texas
10,-97.29542,28.28184,Weigh Station,US 77 Refugio Texas
11,-97.25689,28.69134,Weigh Station,Fannin Texas
12,-97.25681,28.69215,Weigh Station,Fannin Texas
13,-96.78549,28.9076,Weigh Station,US 77 NB Inez Texas
14,-96.74803,28.92757,Weigh Station,US 77 SB Inez Texas
15,-97.89264,29.92396,Weigh Station,San Marcos Texas
16,-97.87729,29.95533,Weigh Station,San Marcos Texas
17,-96.06361,29.40781,Weigh Station,Hungerford Texas
18,-96.0707,29.77299,Weigh Station,I-10 WB San Felipe Texas
19,-96.01193,29.77644,Weigh Station,I-10 EB Brookshire Texas
20,-95.49154,30.52337,Weigh Station,I-45 NB New Waverly Texas
21,-95.99122,31.27992,Weigh Station,I-45 SB Centerville Texas
22,-93.66452,30.14362,Weigh Station,Vinton Louisana
23,-93.66411,30.14291,Weigh Station,Vinton Louisiana
24,-102.5542,31.75475,Weigh Station,Odessa Texas
25,-102.55306,31.75673,Weigh Station,Odessa Texas
26,-93.68295,30.31319,Weigh Station,Starks Louisana
27,-96.69463,32.62171,Weigh Station,Wilmer Texas
28,-96.69359,32.62168,Weigh Station,Wilmer Texas
29,-96.10774,32.6585,Weigh Station,Terrell Texas
30,-96.10533,32.65858,Weigh Station,Terrell Texas
31,-95.56016,32.49278,Weigh Station,Tyler Texas
32,-95.55824,32.49279,Weigh Station,Tyler Texas
33,-103.08975,32.72693,Weigh Station,Hobbs New Mexico
34,-98.73915,33.97083,Weigh Station,Iowa Park Texas
35,-98.74554,33.97135,Weigh Station,Iowa Park Texas
36,-94.02321,32.45199,Weigh Station,Greenwood Louisiana
37,-94.02109,32.45266,Weigh Station,Greenwood Louisiana
38,-95.05022,33.15822,Weigh Station,Mount Pleasant Texas
39,-95.0429,33.15879,Weigh Station,Mount Pleasant Texas
40,-96.53561,33.8061,Weigh Station,US 75 Southbound
41,-96.51207,33.86408,Weigh Station,Hwy 69 Southbound
42,-96.51089,33.864,Weigh Station,Hwy 69 Northbound
43,-104.27571,32.29864,Weigh Station,Carlsbad New Mexico
44,-91.93872,30.28535,Weigh Station,Lafayette Louisiana
45,-91.93847,30.28638,Weigh Station,Lafayette Louisiana
46,-101.8522,33.87815,Weigh Station,Abernathy Texas
47,-105.42984,31.19129,Weigh Station,Sierra Blanca Texas
48,-94.15136,33.18573,Weigh Station,US 59 Northbound only Queen City Texas
49,-100.24194,34.43919,Weigh Station,Hwy 287 North && South bound
50,-95.51138,33.91581,Weigh Station,Hwy 271 Southbound
51,-95.51049,33.91679,Weigh Station,Hwy 271 Northbound
52,-97.15592,34.47607,Weigh Station,I-35 Northbound
53,-97.15767,34.47666,Weigh Station,I-35 Southbound
54,-94.03881,33.56032,Weigh Station,Ashdown Arkansas
55,-93.6718,33.64939,Weigh Station,Fulton Arkansas
56,-93.67156,33.65103,Weigh Station,Fulton Arkansas
57,-99.76792,35.23573,Weigh Station,I-40 Eastbound
58,-99.7677,35.23721,Weigh Station,I-40 Westbound
59,-103.06056,34.38905,Weigh Station,Texico New Mexico
60,-90.48235,30.10006,Weigh Station,LaPlace Louisiana
61,-90.4807,30.10066,Weigh Station,LaPlace Louisiana
62,-90.52154,30.47982,Weigh Station,Ponchatoula Louisana
63,-90.52151,30.47986,Weigh Station,Ponchatoula Louisana
64,-97.87664,35.50042,Weigh Station,I-40 Eastbound
65,-97.87472,35.50162,Weigh Station,I-40 Westbound
66,-90.52859,30.89391,Weigh Station,Tanipahoa Louisana
67,-90.49952,31.0282,Weigh Station,Osyka Mississippi
68,-106.60526,32.06516,Weigh Station,Las Crues New Mexico
69,-95.78812,35.43667,Weigh Station,I-40 Eastbound
70,-95.78991,35.43807,Weigh Station,I-40 Westbound
71,-90.94787,32.31958,Weigh Station,Delta City Louisiana
72,-90.94796,32.32049,Weigh Station,Delta City Louisana
73,-103.30085,35.11167,Weigh Station,San Jon New Mexico
74,-103.30102,35.11348,Weigh Station,San Jon New Mexico
75,-90.79095,32.35205,Weigh Station,Vicksburg Mississippi
76,-90.75395,32.35453,Weigh Station,Vicksburg Mississippi
77,-94.73543,35.44147,Weigh Station,I-40 Westbound
78,-107.12117,32.25022,Weigh Station,Las Cruses New Mexico
79,-89.68125,30.47713,Weigh Station,Picayune Mississippi
80,-89.68027,30.47641,Weigh Station,Picayune Mississippi
81,-89.62451,30.30691,Weigh Station,Slidell Mississippi
82,-89.62302,30.30889,Weigh Station,Slidell Mississippi
83,-89.7842,30.78657,Weigh Station,Poplarville Mississippi
84,-89.79651,31.0122,Weigh Station,Sandy Hook Mississippi
85,-94.29594,35.46003,Weigh Station,Van Buren Arkansas
86,-94.29386,35.4596,Weigh Station,Van Buren Arkansas
87,-95.40248,35.86977,Roadside Check Station,HWY 69 NB Muskogee Oklahoma
88,-95.40304,35.87285,Roadside Check Station,HWY 69 SB Muskogee Oklahoma
89,-103.10619,35.60405,Weigh Station,Nara Vista New Mexico
90,-91.12299,33.31233,Weigh Station,Greenville Mississippi
91,-91.11607,33.32251,Weigh Station,Greenville Mississippi
92,-105.1892,34.59308,Weigh Station,Vaughn New Mexico
93,-97.34671,36.71855,Weigh Station,I-35 Southbound
94,-97.345,36.71849,Weigh Station,I-35 Northbound
95,-94.1876,36.1642,Weigh Station,Springdale Arkansas
96,-94.17812,36.18304,Weigh Station,Springdale Arkansas
97,-97.33672,37.02336,Weigh Station,I-35 Northbound
98,-103.17424,36.43602,Weigh Station,Clayton New Mexico
99,-100.82483,37.08892,Weigh Station,Hwy 54 East && west bond
100,-102.49551,36.72937,Weigh Station,Hwy 287/412 All Directions
101,-88.43647,30.46005,Weigh Station,Escatawpa Mississippi
102,-106.89644,34.2859,Weigh Station,San Acacia New Mexico
103,-106.89732,34.2861,Weigh Station,San Acacia New Mexico
104,-88.40411,30.47346,Weigh Station,Escatawpa Mississippi
105,-95.92747,37.00217,Weigh Station,Hwy 75 North && South bound
106,-88.44724,30.88928,Weigh Station,Lucedale Mississippi
107,-88.44568,30.88954,Weigh Station,Lucedale Mississippi
108,-108.697,32.34173,Weigh Station,Lordsburg New Mexico
109,-108.69784,32.34084,Weigh Station,Lordsburg New Mexico
110,-94.56607,37.00628,Weigh Station,Joplin Missouri
111,-94.56657,37.0068,Weigh Station,Joplin Missouri
112,-109.51714,31.3841,Weigh Station,Douglas Arizona
113,-109.17923,32.25672,Weigh Station,San Simon Arizona
114,-109.17921,32.25782,Weigh Station,San Simon Arizona
115,-94.70369,37.17841,Weigh Station,Hwy 69/400 All directions
116,-109.06322,32.65639,Weigh Station,Duncan Arizona
117,-88.43664,32.43822,Weigh Station,Meridian Missssippi
118,-88.43562,32.43702,Weigh Station,Meridian Mississippi
119,-109.94808,31.33421,Weigh Station,Naco Arizona
120,-104.48342,36.98991,Weigh Station,Raton New Mexico
121,-87.39701,30.56847,Weigh Station,Easley Florida
122,-89.99053,34.8941,Weigh Station,Southaven Mississippi
123,-89.99177,34.89625,Weigh Station,Southaven Mississippi
124,-90.25001,35.15246,Weigh Station,West Memphis Arkansas
125,-87.3627,30.5531,Weigh Station,Ensley Florida
126,-87.36201,30.55397,Weigh Station,Ensley Florida
127,-90.19993,35.19159,Weigh Station,West Memphis Arkansas
128,-90.10376,35.14073,Weigh Station,West memphis Arkansas
