UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin
199908,31.023838,-87.497017,Low Clearance,Atmore,AL,36502,LCX,,unmarked height clearance,low_unk_pushpin
199909,33.574878999999996,-86.788341,Low Clearance,Birmingham,AL,35217,LCX,,unmarked height clearance,low_unk_pushpin
199910,32.192226,-87.46045600000001,Low Clearance,Catherine,AL,36728,LCX,,unmarked height clearance,low_unk_pushpin
199911,33.725997,-87.14912700000001,Low Clearance,Cordova,AL,35550,LCX,,unmarked height clearance,low_unk_pushpin
199912,33.735547,-87.110745,Low Clearance,Dora,AL,35062,LCX,,unmarked height clearance,low_unk_pushpin
199913,33.524599,-86.891346,Low Clearance,Fairfield,AL,35064,LCX,,ns unknown height clearance,low_unk_pushpin
199914,33.479221,-86.929728,Low Clearance,Fairfield,AL,35064,LCX,,unmarked height clearance,low_unk_pushpin
199915,34.010771000000005,-85.99876,Low Clearance,Gadsden,AL,35901,LCX,,unmarked height clearance,low_unk_pushpin
199916,34.013273999999996,-85.996434,Low Clearance,Gadsden,AL,35901,LCX,,unmarked height clearance,low_unk_pushpin
199917,34.011677,-85.997943,Low Clearance,Gadsden,AL,35901,LCX,,unmarked height clearance,low_unk_pushpin
199918,34.073532,-86.75246899999999,Low Clearance,Hanceville,AL,35077,LCX,,unmarked height clearance,low_unk_pushpin
199919,33.889706,-86.759987,Low Clearance,Hayden,AL,35079,LCX,,unmarked height clearance,low_unk_pushpin
199920,34.729944,-86.596815,Low Clearance,Huntsville,AL,35816,LCX,,unmarked height clearance,low_unk_pushpin
199921,33.825439,-87.276338,Low Clearance,Jasper,AL,35501,LCX,,unmarked height clearance,low_unk_pushpin
199922,33.852632,-87.304082,Low Clearance,Jasper,AL,35501,LCX,,unmarked height clearance,low_unk_pushpin
199923,33.54087,-86.535035,Low Clearance,Leeds,AL,35094,LCX,,unmarked height clearance,low_unk_pushpin
199924,33.541833000000004,-86.534724,Low Clearance,Leeds,AL,35094,LCX,,unmarked height clearance,low_unk_pushpin
199925,30.661004,-88.058074,Low Clearance,Mobile,AL,36605,LCX,,unmarked height clearance,low_unk_pushpin
199926,30.713406,-88.167704,Low Clearance,Mobile,AL,36608,LCX,,unmarked height clearance,low_unk_pushpin
199927,30.659759,-88.058696,Low Clearance,Mobile,AL,36605,LCX,,unmarked height clearance,low_unk_pushpin
199928,31.60339,-87.409898,Low Clearance,Monroeville,AL,36460,LCX,,unmarked height clearance,low_unk_pushpin
199929,31.394810999999997,-85.58662,Low Clearance,Ozark,AL,36360,LCX,,unmarked height clearance,low_unk_pushpin
199930,33.591513,-86.390196,Low Clearance,Pell City,AL,35128,LCX,,unmarked height clearance,low_unk_pushpin
199931,32.459628,-86.460139,Low Clearance,Pratville,AL,36067,LCX,,unmarked height clearance,low_unk_pushpin
199932,33.703224,-87.083373,Low Clearance,Quinton,AL,35130,LCX,,unmarked height clearance,low_unk_pushpin
