app_name,app_version,label_title,review,store_rating
rv-life-rv-gps-campgrounds,2.2.0,Does nothing,Will not do anything without paid subscription.,1
rv-life-rv-gps-campgrounds,2.2.0,Don’t receive confirmation email,Tried several times to obtain a verification email and never receive one. I look in my spam folder to ensure all boxes are checked...MO JOY.,1
rv-life-rv-gps-campgrounds,2.1.5,This is not ready for release!!! Avoid!!!!,"To say we are disappointed is an understatement!!  This App does not bring in your RV Trip Wizard route, it makes a new one!  
It took us in a loop around twice for no real reason. 
If you take a call while using it, it forgets where you were before the call and you have to reset the location. 
It does not show you on the turn by turn the exit number or direction, that is only audible!!
On our way to Pipestem WV, it took us down 2 roads that were not even close to be passable by our RV and yes we had the RV info listed correctly. We have to turnaround our 5th Wheel twice into empty fields that really torqued our rig and hitch!!
If you think this is a companion to RV Trip Wizard, it is not and RV Trip Wizard should really second guess offering this link!!
And to think I was going to buy this!! Give it some time and maybe but for now run away from this one!!!",1
rv-life-rv-gps-campgrounds,2.1.5,GPS directions bad,"First time using RV Life, it directed us to a road with a 8’10” bridge and our rig is 13’. I had chosen my model and it had the correct height. Luckily there was a “one vehicle road we could get onto to avoid the bridge. Would not trust!",1
rv-life-rv-gps-campgrounds,2.1.2,Outstanding ! Essential for campers!,"This is the best, and only app you’ll need to find campgrounds in the US! Much better than any printed directory!",5
rv-life-rv-gps-campgrounds,2.1.2,Crashes constantly,Unable to use for directions since I paid for the service it just crashes every time I try to get directions.,2
rv-life-rv-gps-campgrounds,2.1.2,Needs some work.,I was very excited to finally find an app to help navigate while driving a large Rv. Other apps I have used have routed me into dangerous situations. So far this app seems to work well. The only issues so far are the ETA is not even close to realistic. This needs to be fixed. Also does not support apple car play.,3
rv-life-rv-gps-campgrounds,2.1.2,I have requested access many times and never received and email.,Never received access email,1
rv-life-rv-gps-campgrounds,2.1.2,Can’t use app without correcting email,"There are two choices I have to try and use the app. Unfortunately, seeing an incorrect email address the only options this app offers are to go to an inbox that doesn’t exist or to resend an email request to a non-existing email address.
Uninstalled due to being unable to correct an email address.",1
rv-life-rv-gps-campgrounds,2.0.9,Terrible App!,Terrible app! This replaced Campground Review app and this has to be the most difficult to navigate! Have tried for hours to get even a list of campgrounds near a future location without success. Old app was much easier to use. Found KOA to be much more user friendly despite limiting campgrounds to KOAs. If I need directions I’ll use Google Maps! I need campground listings and reviews not directions!,1
rv-life-rv-gps-campgrounds,2.0.9,Great App for RVers on the move,I have found this App to be a valuable tool for making my decision on where to stay when I’m on the move.,5
rv-life-rv-gps-campgrounds,2.0.9,Have enjoyed for years. Excellent RV info source for general rv owners and travel info.,Thanks,5
rv-life-rv-gps-campgrounds,2.0.8,Add,"Rv’ers hidden gems stores or activity hidden in cities.

Rig information: a place where RV’ers can access their rig information in the app.",3
rv-life-rv-gps-campgrounds,2.0.8,"Long time web user, better with app",The app makes it much easier to find suitable RV parks than the web version.  Used it for years but now almost never as the app is better.  Browsing the map is very easy and lets me find parks on alternate routes.,4
rv-life-rv-gps-campgrounds,2.0.8,Best forum to campers,"This is s great site and my go to place to check campgrounds. Most accurate place for reviews. 
Love it.",5
