longitude,latitude,campsite_name,phone_number,street_address,city,state_province,postal_code,country
-112.7716793,51.4715966,Dinosaur Trail RV Resort (GNP),(403) 823-9333,Hwy 838 N,Drumheller,AB,T0J 0Y0,CAN
-118.814088,55.1050346,Camp Tamarack RV Park (GNP),(780) 532-9998,704063 Range Rd 62,Grand Praire,AB,T8W 5B3,CAN
-112.87118,49.71111,Bridgeview RV Resort (Holiday Trails Resort),(403) 381-2357,1501 2nd Ave W,Lethbridge,AB,T1J 4S5,CAN
-115.032757,52.442406,Wilderness Village at Crimson Lake,(403) 845-2145,Hwy 756,Rocky Mountain House,AB,T4T 1A9,CAN
-117.2987,55.053653,Sherk's RV Park (GNP),(780) 524-4949,22362 Township Rd,Valleyview,AB,T0H 3N0,CAN
-151.081227,60.474651,Edgewater RV Resort (Sunrise Resorts),(907) 262-7733,48798 Funny River Rd,Soldotna,AK,48798,USA
-86.183691,34.463649,Mountain Lakes Resort [Ocean Canyon Properties],(256) 582-5556,1345 Murphy Hill Rd,Langston,AL,35755,USA
-87.593743,30.622917,Styx River Resort (Ocean Canyon Properties),(251) 960-1170,25301 Water World Rd,Robertsdale,AL,36567,USA
-87.61134,30.618445,Wilderness RV Park (Sugar Beach Resort),(251) 960-1195,24280 Patterson Rd,Robertsdale,AL,36567,USA
-86.039311,33.52577,Talladega Creekside Resort (GNP),(256) 362-9053,760 Lake Whitland Rd,Talladega,AL,35160,USA
-86.234912,34.613487,Parnell Creek RV Park (GNP),(256) 776-2348,115 Parnell Circle,Woodville,AL,35776,USA
-94.013786,33.713158,Millwood Landing Golf and RV Resort (Ocean Canyon Properties),(214) 306-6868,596 Hwy 317,Ashdown,AR,71822,USA
-92.1212,35.9351,Angler's Holiday Mountain Resort,(870) 585-2231,473 Swinging Bridge Rd,Mountain View,AR,72560,USA
-92.309284,35.623418,Golden Pond RV Park,(501) 723-8212,241 Hwy 330 S,Shirley,AR,72153,USA
-111.569819,33.429893,Carefree Manor RV Resort (GNP),(480) 982-4008,1615 n Deleware Dr,Apache Junction,AZ,85220,USA
-112.15338,34.07178,Black Canyon Ranch RV Resort (GNP),(623) 374-9800,33900 S Old Black Canyon Hwy,Black Canyon,AZ,85324,USA
-114.571756,35.113345,Silver View RV Resort,(928) 763-5500,1501 Gold Rush Rd,Bullhead City,AZ,86442,USA
-114.5554,35.1719,Sunrise Adventures - Ridgeview,(928) 754-2596,775 Bullhead Pkwy,Bullhead City,AZ,86429,USA
-111.885635,34.584387,Verde Ranch RV Resort (GNP),(928) 567-7126,1105 N Dreamcatcher Dr,Camp Verde,AZ,86322,USA
-111.6497,37.7612,High Chaparral RV Park (GNP),(520) 466-5076,7575 W Bataglia Rd,Casa Grande,AZ,85222,USA
-111.892191,34.767336,Page Springs (Sunrise Resorts),(928) 634-4309,1951 N Page Springs Rd,Cornville,AZ,86325,USA
-114.5238,33.606,Arizona Oasis RV Resort (GNP),(928) 923-8230,50238 Ehrenberg-Parker Hwy.,Ehrenberg,AZ,85334,USA
-114.596632,35.018944,Riverside Adventure Trails,(928) 763-8800,4750 S Hwy 95,Fort Mohave,AZ,86426,USA
-111.3117,34.5543,Clint's Well (Sunrise Resorts),(928) 477-2299,Jct Hwy 87 and FH 3,HappyJack,AZ,86024,USA
-110.22398,31.721367,Tombstone Territories RV Resort (GNP),(520) 457-2584,2111 E Hwy 82,Huachuca,AZ,85616,USA
-114.387626,34.573755,Desert Hills Estates (GNP),(760) 663-4941,1100 Riverside Dr,Lake Havasu City,AZ,86404,USA
-114.366786,34.544362,Lake Havasu RV Park (Colorado River Adventures),(760) 663-4941,3829 London Bridge Rd,Lake Havasu City,AZ,86403,USA
-109.776696,31.4585,Desert Oasis Campground (GNP),(520) 979-6650,5631 W Double Adobe Rd,McNeal,AZ,85617,USA
-114.60345,34.96852,Moon River Resorts (GNP),(928) 788-6660,1325 Boundary Cone Rd,Mohave Valley,AZ,86440,USA
-110.407193,34.369073,White Mountain [Sunrise Resorts],(928) 535-5978,2162 Camperland Rd,Overgaard,AZ,85933,USA
-110.227079,31.905823,Apache Mobile Home and RV (GNP),(520) 720-4634,79 N Apache Trl,St David,AZ,85630,USA
-110.875355,32.129958,Crazy Horse RV Campground (GNP),(800) 279-6279,6660 S Craycroft Rd,Tucson,AZ,85756,USA
-109.839273,32.244234,Sagebrush RV Park (GNP),(520) 384-2872,200 W Lewis St,Willcox,AZ,85643,USA
