,longitude,latitude,state,roadway,direction,name,mile_marker,restrooms,restrooms_vault_toilet,restrooms_porta,picnic_tables,vending_machines,pet_walking_area,handicapped_area,rv_dump,restaurant,gas,scenic_view
0,-147.814902,61.800549,AK,AK-1,EB/WB,MATANUSKA GLACIER STATE REC PARK REST AREA,MM101,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1,-87.4185,30.57584,AL,I-10,WB,BALDWIN COUNTY WELCOME CENTER, MM65.8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,-88.393032,30.477238,AL,I-10,EB,GRAND BAY WELCOME CENTER, MM0.45,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3,-85.369424,33.667729,AL,I-20,WB,CLEBURNE WELCOME CENTER, MM213,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4,-86.309572,33.850692,AL,I-59,NB,ST CLAIR COUNTY REST AREA, MM164,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
5,-86.26854,33.874538,AL,I-59,SB,ST CLAIR COUNTY REST AREA, MM167,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
6,-85.557909,34.709337,AL,I-59,SB,DEKALB COUNTY WELCOME CENTER, MM241,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
7,-88.401527,32.449365,AL,I-59/20,NB,SUMTER COUNTY WELCOME CENTER, MM0.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
8,-87.959059,32.841501,AL,I-59/20,NB,GREENE COUNTY REST AREA, MM38,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,-87.327741,33.188344,AL,I-59/20,NB,TUSCALOOSA COUNTY REST AREA, MM85,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,-87.938134,32.858956,AL,I-59/20,SB,GREENE COUNTY REST AREA, MM39,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
11,-87.319811,33.190905,AL,I-59/20,SB,TUSCALOOSA COUNTY REST AREA, MM85,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
12,-86.866031,34.071669,AL,I-65,NB,CULLMAN COUNTY REST AREA, MM300,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
13,-86.633068,32.902094,AL,I-65,NB,CHILTON COUNTY REST AREA, MM213,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
14,-86.610235,31.881886,AL,I-65,NB,BUTLER COUNTY REST AREA, MM133,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
15,-87.113734,31.336915,AL,I-65,NB,CONECUH COUNTY REST AREA, MM84,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
16,-86.890553,34.956755,AL,I-65,SB,ARDMORE WELCOME CENTER CENTER, MM364,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
17,-86.866655,34.079928,AL,I-65,SB,CULLMAN COUNTY REST AREA, MM300,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
18,-86.639019,32.909824,AL,I-65,SB,CHILTON COUNTY REST AREA, MM213,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
19,-86.608385,31.885525,AL,I-65,SB,BUTLER COUNTY REST AREA, MM133,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
20,-87.047289,31.374923,AL,I-65,SB,CONECUH COUNTY REST AREA, MM89,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
21,-85.617779,32.496995,AL,I-85,NB,MACON COUNTY REST AREA, MM43.6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
22,-85.606456,32.505728,AL,I-85,SB,MACON COUNTY REST AREA, MM44.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
23,-85.193662,32.841031,AL,I-85,SB,LANETT WELCOME CENTER, MM78,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
24,-85.407568,31.007808,AL,US-231,NB,HOUSTON COUNTY WELCOME CENTER, MM0.7,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
25,-85.408172,31.007849,AL,US-231,SB,HOUSTON COUNTY WELCOME CENTER-LEFT EXIT, MM0.7,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
26,-85.583124,31.390784,AL,US-231,SB,DALE COUNTY REST AREA, MM37.8,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
27,-85.581593,31.390019,AL,US-231,NB,DALE COUNTY REST AREA-LEFT EXIT, MM37.7,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
28,-86.296119,31.090612,AL,US-331,NB,COVINGTON COUNTY REST AREA, MM8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
29,-86.295217,31.09326,AL,US-331,SB,COVINGTON COUNTY REST AREA-LEFT EXIT, MM8.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
30,-85.175733,31.781335,AL,US-431,NB,BARBOUR COUNTY REST AREA-LEFT EXIT, MM58.7,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
31,-85.175622,31.781558,AL,US-431,SB,BARBOUR COUNTY REST AREA, MM58.8,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
32,-86.885931,32.776324,AL,US-82,WB,CHILTON COUNTY REST AREA, MM105.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
33,-86.889249,32.778364,AL,US-82,EB,CHILTON COUNTY REST AREA-LEFT EXIT, MM105.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
34,-93.938549,33.516077,AR,I-30,EB,TEXARKANA WELCOME CENTER, MM7.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
35,-93.263439,33.92752,AR,I-30,EB,GURDON REST AREA, MM48,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
36,-92.893597,34.349389,AR,I-30,EB,SOCIAL SPRINGS REST AREA, MM92,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
37,-93.246435,33.941061,AR,I-30,WB,GURDON REST AREA, MM57,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
38,-92.890239,34.353064,AR,I-30,WB,SOCIAL SPRINGS REST AREA, MM92,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
39,-93.346476,35.371105,AR,I-40,EB,BIG PINEY REST AREA, MM67.9,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
40,-93.346787,35.371495,AR,I-40,WB,WELCOME CENTER, MM274,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
41,-93.281021,35.33582,AR,I-40,WB,BIG PINEY REST AREA, MM72.3,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
42,-91.474944,34.835305,AR,I-40,EB,WHITE RIVER REST AREA, MM199,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
43,-94.401021,35.459878,AR,I-40,EB,VAN BUREN/FT SMITH WELCOME CENTER, MM2.6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
44,-90.870575,34.997308,AR,I-40,EB,FORREST CITY REST AREA, MM235,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
45,-93.850986,35.521014,AR,I-40,EB,OZARK REST AREA, MM36,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
