0,1,2,3,4,5,6,7,8
-113.99838999999999,51.292840000000005,Flying J\,  Cardlock 10 Truck Parking Spots; #0813,403-948-4193,85 East Lake Cresent,Airdrie,AB,T4B 2B5,CAN
-111.867535,50.572798999999996,Flying J\, 20 Truck Parking Spots; #0792,403-362-5594,Hwy 1 & CR542; 1260 Cassils Road East,Brooks,AB,T1R 1B7,CAN
-114.00491000000001,51.075,Flying J\,  Cardlock 130 Truck Parking Spots; #0814,403-250-3835,Hwy 1 Barlow Trl Exit; 2525 23rd St NE,Calgary,AB,T2E 7M1,CAN
-113.974949,50.990041,Flying J\, 15 Truck Parking Spots; #0793,403-236-2404,Hwy 2; 4216 72 Ave SE,Calgary,AB,T2C 2C1,CAN
-114.004072,51.009581,Flying J\, 80 Truck Parking Spots; #0848,403-569-6250,Hwy 2; 4949 Barlow Trail SE,Calgary,AB,T2B 3B5,CAN
-113.97940700000001,50.948795000000004,Flying J\, RV Lanes/RV Dump/Propane; 128 Truck Parking Spots; #0785,403-720-0904,Hwy 35 Exit 240; 11511 40th Street N,Calgary,AB,T2H 1L4,CAN
-114.98772,53.226980000000005,Flying J\,  Cardlock 130 Truck Parking Spots; #0815,801-725-1370,5505 Jubilee Ave,Drayton Valley,AB,T7A 1S3,CAN
-113.59145,53.572978000000006,Flying J\,  Cardlock 130 Truck Parking Spots; #0816,708-413-9116,15609 - 121 Ave,Edmonton,AB,T5V 1B1,CAN
-113.61202,53.57086999999999,Flying J\, 100 Truck Parking Spots; #0850,780-455-1111,Hwy 2 Exit 366; 16806 118 Ave,Edmonton,AB,T5V 1M8,CAN
-116.42203,53.58391999999999,Flying J\,  Cardlock 130 Truck Parking Spots; #0818,780-723-4744,2520 - 2 Ave,Edson Motco,AB,T7E 1T9,CAN
-111.3588,56.6951,Flying J\,  Cardlock 130 Truck Parking Spots; #0819,780-743-3556,345 Sakitawaw Trail,Fort McMurray,AB,T9H 4E4,CAN
-118.821169,55.162867000000006,Flying J\,  Cardlock 130 Truck Parking Spots; #0820,780-532-2378,9212 - 108 St,Grande Prairie,AB,T8V 4C9,CAN
-111.811603,51.61815,Flying J\, 100 Truck Parking Spots; #0846,403-854-5000,Hwy 9 & Hwy 36 South,Hanna,AB,T0J 1P0,CAN
-117.58668300000001,53.405,Flying J\,  Cardlock 130 Truck Parking Spots; #0817,780-817-1150,294 Kelly Rd,Hinton,AB,T7V 1H2,CAN
-112.778748,49.675537,Flying J\,  Cardlock 97 Truck Parking Spots; #0821,403-328-4735,1005 43rd St,Lethbridge,AB,T1K 7B8,CAN
-110.037,53.286,Flying J\,  Cardlock 97 Truck Parking Spots; #0822,780-875-2990,Hwy 16 62nd Ave Exit; 5109 63 St Ave,Lloydminster,AB,T9V 2E7,CAN
-110.73292,50.055421,Flying J\, 52 Truck Parking Spots; #0868,403-525-0959,Hwy 1 Exit Box Springs Rd; 2194 Saamis Dr NW,Medicine Hat,AB,T1C 1W7,CAN
-113.766975,50.341778000000005,Flying J\, RV Dump/Propane; 70 Truck Parking Spots; #0869,403-646-2810,2810 21st Ave,Nanton,AB,T0L 1R0,CAN
-113.542631,53.339461,Flying J\, 8 Truck Parking Spots; #0795,780-955-3535,Hwy 2 Exit 525; 302 20th Avenue,Nisku,AB,T9E 7T8,CAN
-113.848703,52.287481,Flying J\, RV Dump/Propane; 26 Truck Parking Spots; #0796,403-346-2842,Hwy 11; 6607 67th St,Red Deer,AB,T4P 1A4,CAN
-110.77337800000001,50.079633,Flying J\,  Cardlock 200 Truck Parking Spots; #0826,403-526-2669,115 Lockwood St,Redcliff,AB,T1A 7T9,CAN
-118.699449,55.757387,Flying J\, Propane; 8 Truck Parking Spots; #0797,780-765-3740,4910 43rd St,Rycroft,AB,T0H 3A0,CAN
-113.316928,53.56694,Flying J\, RV Lanes/Propane; 142 Truck Parking Spots; #0786,780-416-2035,50 Pembina Rd,Sherwood Park,AB,T8H 2G9,CAN
-117.28226200000002,55.051643999999996,Flying J\, RV Lanes; 10 Truck Parking Spots; #1200.,780-524-4666,3806 Hwy Street,Valley View,AB,T0H 3N0,CAN
-115.695415,54.136920999999994,Flying J\, 41 Truck Parking Spots; #0824,780-779-4945,5329 Govenlock Mountain Rd,Whitecourt,AB,T7N 1S9,CAN
-87.5428142,31.088421899999997,AMBEST\,  Creek Travel Plaza 84 Truck Parking Spots,251-368-0088,I-65 Exit 54; 4740 Jack Springs Rs,Atmore,AL,36502,USA
-86.851917,33.529436,Pilot\, 100 Truck Parking Spots; #0369,205-324-4532,I-20/59/65 Exit 123; 901 Bankhead Hwy,Birmingham,AL,35204,USA
-86.83154,33.562346999999995,Flying J\, RV Lanes/RV Dump/Propane; 157 Truck Parking Spots/RV Parking; #0602,205-323-2177,I-65 Exit 264; 224 Daniel Payne Dr,Birmingham,AL,35207,USA
-86.591963,32.844151000000004,Love's\,  RV Dump/Propane; 65 Truck Parking Spots; #0368,205-755-8104,I-65 Exit 208; 300 Arby Dr,Clanton,AL,35045,USA
-87.4462,33.1759,TA\,  BP RV Dump; 151 Truck Parking Spots; #0016,205-554-0215,I-20/159 Exit 77; 3501 Buttermilk Road,Cottondale,AL,35453,USA
-87.44621500000001,33.178927,Pilot\, 100 Truck Parking Spots; #4555,205-633-2155,I-20/59 Exit 77; 3201 Buttermilk Rd,Cottondale,AL,35453,USA
-86.86285,34.11671,AMBEST\,  Jacks Truck Stop 100 Truck Parking Spots,256-739-0220,I-65 Exit 304; 1639 CR 437,Cullman,AL,35055,USA
