State,HWY #,Location,Height,Inches,Posted,Height.1
OH,OH 100,Tiffin- 0.3 Mile North of OH 18,11.0,7.0,,
OH,OH 103,Willard- 1.4 Mile North of US 224,13.0,4.0,,
OH,OH 111 NB,Defiance- 0.7 Mile South of OH 424,11.0,11.0,,
OH,OH 111 SB,Defiance- 0.7 Mile South of OH 424,11.0,10.0,,
OH,OH 126,The Village of Indian Hills- 1.7 Miles East of US 22,12.0,9.0,,
OH,OH 14,2.5 Miles Southeast of OH 165,13.0,6.0,,
OH,OH 148,"Armstrong Mills- Captina Creek Bridge, 0.1 Mile West of OH 9",13.0,5.0,,
OH,OH 17,In Brook Park and Cleveland- .054 Mile West of I-71,13.0,6.0,,
OH,"OH 175 (Rich-
mond Rd)",Solon- 0.6 Mile North of Junction OH 43 (Aurora Rd),10.0,0.0,,
OH,OH 18,Hicksville- 0.5 Mile Northwest of Junction OH 2 and OH 49,12.0,6.0,,
OH,OH 183,Alliance- 1.5 Miles North of US 62,11.0,8.0,,
OH,OH 19,Republic- 0.6 Mile South of Junction OH 162,11.0,7.0,,
OH,OH 212,Bolivar- 0.3 Mile West of US 68,12.0,6.0,,
OH,OH 245,West Liberty- 0.8 Mile West of US 68,13.0,0.0,,
OH,OH 303,Hudson- 0.2 Mile West of OH 91,13.0,5.0,,
OH,OH 335,Omega- Approximately 2.7 Miles East,12.0,0.0,,
OH,OH 335,Portsmouth- 3.8 Miles North of US 52,12.0,8.0,,
OH,OH 37,Delaware- 1 Mile West of US 23,12.0,8.0,,
OH,OH 39,Mansfield- 0.6 Mile West of US 42,13.0,2.0,,
OH,OH 48,Covington- 0.1 Mile North of US 36,12.0,9.0,,
NY,Alt. US 20,Warsaw- 0.3 Miles East of NY 19,12.0,6.0,,
NY,"Brooklyn Battery 
Terminal",New York City- Exit 25 NB to I-278,13.0,8.0,,
NY,"Brooklyn-Queens 
Expwy. NB",New York City- at Astoria Boulevard Overpass,13.0,6.0,,
SD,Alt US 16,Keystone- 2.8 Miles Southeast at Mile Marker 54.09,9.0,7.0,,
SD,Alt US 16,Keystone- Tunnel 3.3 Miles Southeast at Mile Marker 53.68,12.0,7.0,,
SD,Alt US 16,Keystone- Tunnel 4 Miles Southeast at Mile Marker 53.02,12.0,4.0,,
SD,Alt US 16,Keystone- 4 Miles Southeast at Mile Marker 53.02,12.0,6.0,,
NM,Central Ave,Albuquerque- 0.1 Mile East of 1st Street,13.0,11.0,,
NM,FR 4184,Aztec- 0.1 Mile East of US 550,11.0,3.0,,
NM,FR 4221,Belen- 0.5 Mile East of Loop 13/NM 309,13.0,6.0,,
NM,NM 118,Gallup- 12.7 Miles East of Arizona State Line at I-40,14.0,0.0,,
NM,NM 118,Mentmore- 8.4 Miles East of Arizona State Line at I-40,13.0,11.0,,
NM,NM 124,Grants- 1.2 Miles East of NM 117/124 at I-40,13.0,6.0,,
NM,NM 152,Kingston- 1.2 Miles East,12.0,8.0,,
NM,NM 152,Kingston- 3.2 Miles East,12.0,5.0,,
NM,NM 161,Watrous- at I-25 Overpass at Exit 364,13.0,11.0,,
NM,NM 320 NB,Dona Ana- 3.7 Miles North of US 70,13.0,10.0,,
NM,NM 395,Hondo- 0.2 Mile South of Junction US 70/380 at Rio Hondo,12.0,9.0,,
NM,NM 423,Albuquerque- Junction Rio Grande Blvd,13.0,11.0,,
NM,"NM 423 (Paseo 
del Norte)",Albuquerque- 0.8 Mile West of Junction 2nd Street,13.0,11.0,,
NM,NM 567,Pilar- 6.1 Miles North of Junction NM 68 at Rio Grande,12.0,10.0,,
NM,US 54,Logan- 0.4 Mile East of Junction NM 39,14.0,0.0,,
NM,US 56,Springer- 0.1 Mile East of Junction I-25,13.0,8.0,,
NM,US 70,Lordsburg- 29.6 Miles East of Arizona State Line at I-40,14.0,0.0,,
NM,US 84,Fort Sumner- 0.4 Mile North of Junction US 60,13.0,11.0,,
AR,AR 42,Turrell-0.01 miles east of AR 77,11.0,9.0,,
AR,AR 43,Siloam Springs-Jct. US 12,13.0,6.0,,
AR,AR 51,Arkadelphia-0.59 miles east of US 67,12.0,6.0,,
AR,AR 69,Moorefield,12.0,6.0,,
AR,AR 69,Trumann-0.82 miles East of US 63,9.0,0.0,,
AR,AR 69,Trumann-0.19 miles Northeast of US 63,12.0,0.0,,
AR,AR 7,"Camden-North, 0.8 mi. Northwest of US 79",13.0,1.0,,
AR,AR 75,Parkin,12.0,1.0,,
