UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin
101962,31.461540999999997,-109.946845,Road Grade,Bisbee,AZ,85603,Grade,,"5800 ft elev, West: 5-6 percent grade for 4 miles., East: 5-6 percent grade descent for 4 miles and 9 percent for 1 mile",roadgrade_pushpin
101981,34.494107,-111.631322,Road Grade,Camp Verde,AZ,86322,Grade,,"6000 ft elev, West: 9 miles of 6-7 percent grade. WB descent. 2 lane rd. Use extra caution on this long and dangerous descent.",roadgrade_pushpin
102010,33.054105,-109.083474,Road Grade,Clifton,AZ,85533,Grade,,"6300 ft elev, Big rigs not recommended, West: 4 miles of 7-8 percent grade descent followed by 7 miles of 4-7 percent grade descent. Slow curves throughout., East: Miles of up and down, short 6 percent grades and curves.",roadgrade_pushpin
102011,33.575762,-109.359205,Road Grade,Clifton,AZ,85533,Grade,,"9200 ft elev, 40 ft limit and a 12 ft 7 inch clearance tunnel, South: Many 8-9 percent grade descent sections, narrow road and many hairpin turns. 6 percent grade descent for 5 miles south of Hannagan Meadow. 6 percent grade descent from Morenic to Clifton and 6 percent grade climb for 2 miles out of Clifton., North: Many 8-9 percent grade climb sections. A 6 percent grade descent into Clifton from the south. A 6 percent grade climb for 2 miles from Clifton to Morenci",roadgrade_pushpin
102014,34.197676,-112.129396,Road Grade,Congress,AZ,85324,Grade,,"3368 ft elev, South: 6 percent grade for 6 miles. SB descent.",roadgrade_pushpin
102018,34.707328000000004,-112.149818,Road Grade,Cottonwood,AZ,86326,Grade,,"7025 ft elev, 50 ft limit, South: 4.5 miles of 6-7 percent grade. Many curves. One short section in Jerome at 11 percent grade., North: 12 miles of 6 percent grade. Many curves, hairpin turns",roadgrade_pushpin
102023,34.532882,-111.965965,Road Grade,Dewey,AZ,86327,Grade,,"4717 ft elev, North: 6 percent grade for 6 miles. NB descent, SB climb.",roadgrade_pushpin
102058,35.033159000000005,-111.73414,Road Grade,Flagstaff,AZ,86001,Grade,,"6450 ft elev, South: 7 percent grade descent for 3 miles, hairpin turns and narrow road. More rolling descents for another 10 miles with short 6 percent grade sections.",roadgrade_pushpin
102059,35.381563,-111.58051,Road Grade,Flagstaff,AZ,86004,Grade,,"7200 ft elev, North of this point, 4 miles of 6 percent grade. NB descent.",roadgrade_pushpin
102072,36.716491999999995,-112.21543600000001,Road Grade,Fredonia,AZ,86022,Grade,,"7800 ft elev, 89 directions can be a little tricky. Northbound from Jacob Lake towards Fredonia and Utah: 6 percent grade descent for 6 miles., Southbound from Jacob Lake towards Page: 5-6 percent grade descent for 10 miles.",roadgrade_pushpin
102102,33.264133,-110.77068700000001,Road Grade,Globe,AZ,85501,Grade,,"4980 ft elev, North: 8 percent grade descent for 3 miles and 6 percent for 1 mile, South: 7 percent grade descent for 7 miles and 8 percent grade descent for 2 miles.",roadgrade_pushpin
102106,35.045703,-114.380772,Road Grade,Golden Valley,AZ,86413,Grade,,"3600 ft elev, 40 ft limit, West: 7-11 percent grade descent, very narrow, sharp switchbacks and road drop offs without a shoulder., East: 6-8 percent grade descent for 3.25 miles",roadgrade_pushpin
102107,35.218346999999994,-114.39188700000001,Road Grade,Golden Valley,AZ,86413,Grade,,"3600 ft elev, East: 6 percent grade descent for 1 mile and then 4 percent for 4 miles, West: 6 percent grade descent for 11.5 miles. Use extra caution on this 3000 foot drop that ends in a curve near the river and Bullhead City.",roadgrade_pushpin
102115,34.330395,-110.79714799999999,Road Grade,Heber,AZ,85931,Grade,,"7600 ft elev, West: 5 miles of 6 percent grade. Overall 260 has many short 6 percent grade hills. WB descent. 2 lane rd.",roadgrade_pushpin
102120,36.016164,-114.73718400000001,Road Grade,Hoover Dam,AZ,86443,Grade,,"1189 ft elev, Lowpoint, North: 5-6 percent grade descent for 6 miles. New bypass takes most of the challenge away., South: 5 percent hill up towards the dam area. New bypass takes most of the challenge away.",roadgrade_pushpin
